state_code,state_name,state_type
andaman-nicobar-islands,Andaman & Nicobar Islands,UT
andhra-pradesh,Andhra Pradesh,State
arunachal-pradesh,Arunachal Pradesh,State
assam,Assam,State
bihar,Bihar,State
chandigarh,Chandigarh,UT
chattisgarh,Chattisgarh,State
dadra-nagar-haveli-daman-diu,Dadra & Nagar Haveli & Daman & DIU,State
delhi,Delhi,UT
goa,GOA,State
gujarat,Gujarat,State
haryana,Haryana,State
himachal-pradesh,Himachal Pradesh,State
jammu-kashmir,Jammu & Kashmir,UT
jharkhand,Jharkhand,State
karnataka,Karnataka,State
kerala,Kerala,State
lakshadweep,Lakshadweep,UT
madhya-pradesh,Madhya Pradesh,State
maharashtra,Maharashtra,State
manipur,Manipur,State
meghalaya,Meghalaya,State
mizoram,Mizoram,State
nagaland,Nagaland,State
null,Null,State
odisha,Odisha,State
puducherry,Puducherry,UT
punjab,Punjab,State
rajasthan,Rajasthan,State
sikkim,Sikkim,State
tamil-nadu,Tamil Nadu,State
telangana,Telangana,State
tripura,Tripura,State
uttar-pradesh,Uttar Pradesh,State
uttarakhand,Uttarakhand,State
west-bengal,West Bengal,State
